epoch,step,train_loss,val_metric
0,5,,0.0222798902541399
0,5,0.9407618045806885,
1,11,,0.029474932700395584
1,11,0.9128434062004089,
2,17,,0.03455201908946037
2,17,0.8916062116622925,
3,23,,0.03982105851173401
3,23,0.8717378377914429,
4,29,,0.04578033834695816
4,29,0.8538938760757446,
5,35,,0.051133640110492706
5,35,0.8376261591911316,
6,41,,0.05563979595899582
6,41,0.8287630081176758,
7,47,,0.061165258288383484
7,47,0.82133948802948,
8,53,,0.06642287969589233
8,53,0.8155726194381714,
9,59,,0.07134450972080231
9,59,0.8093280792236328,
10,65,,0.07622174173593521
10,65,0.8091912269592285,
