epoch,step,train_loss,val_metric
0,5,,0.024413591250777245
0,5,0.9389694929122925,
1,11,,0.03221503645181656
1,11,0.9090721607208252,
2,17,,0.03793688490986824
2,17,0.8898091316223145,
3,23,,0.04347815737128258
3,23,0.8745735883712769,
4,29,,0.048082102090120316
4,29,0.859004020690918,
5,35,,0.051504556089639664
5,35,0.8463220000267029,
6,41,,0.05360044538974762
6,41,0.8339390754699707,
7,47,,0.05627322196960449
7,47,0.8359341621398926,
8,53,,0.05968303978443146
8,53,0.8263905048370361,
9,59,,0.06255906075239182
9,59,0.8200320601463318,
10,65,,0.06530854851007462
10,65,0.8122314214706421,
11,71,,0.06811036169528961
11,71,0.8087019324302673,
12,77,,0.07093106955289841
12,77,0.8045334815979004,
13,83,,0.07450076937675476
13,83,0.8000699877738953,
14,89,,0.07807810604572296
14,89,0.8038265109062195,
15,95,,0.08129342645406723
15,95,0.8026700019836426,
16,101,,0.0845264345407486
16,101,0.8018266558647156,
17,107,,0.08791594207286835
17,107,0.7955354452133179,
18,113,,0.09182072430849075
18,113,0.7885229587554932,
19,119,,0.09555023163557053
19,119,0.7804955840110779,
20,125,,0.09926775097846985
20,125,0.786780059337616,
21,131,,0.1021839901804924
21,131,0.7891797423362732,
22,137,,0.105707548558712
22,137,0.7783350348472595,
23,143,,0.10978951305150986
23,143,0.7677101492881775,
24,149,,0.11345048993825912
24,149,0.7624902725219727,
25,155,,0.11716793477535248
25,155,0.7602828741073608,
26,161,,0.12012054026126862
26,161,0.7544384002685547,
27,167,,0.12332237511873245
27,167,0.7682883739471436,
28,173,,0.1268126219511032
28,173,0.7559502124786377,
29,179,,0.13010744750499725
29,179,0.7581939697265625,
30,185,,0.13318341970443726
30,185,0.7445959448814392,
31,191,,0.13621322810649872
31,191,0.7547661066055298,
32,197,,0.13977016508579254
32,197,0.7424354553222656,
33,203,,0.14284290373325348
33,203,0.7338244915008545,
34,209,,0.14579373598098755
34,209,0.7459572553634644,
35,215,,0.14911451935768127
35,215,0.729416012763977,
36,221,,0.15236496925354004
36,221,0.7332279086112976,
37,227,,0.15516871213912964
37,227,0.7301594614982605,
38,233,,0.15784403681755066
38,233,0.7302536368370056,
39,239,,0.16064758598804474
39,239,0.7250839471817017,
40,245,,0.16297703981399536
40,245,0.7386746406555176,
41,251,,0.1654929369688034
41,251,0.724528968334198,
42,257,,0.1681516319513321
42,257,0.7310842275619507,
43,263,,0.17025713622570038
43,263,0.7198910117149353,
44,269,,0.17256972193717957
44,269,0.7392138242721558,
45,275,,0.17494484782218933
45,275,0.7188519239425659,
46,281,,0.1771876960992813
46,281,0.7254776954650879,
47,287,,0.17931243777275085
47,287,0.731513500213623,
48,293,,0.18146617710590363
48,293,0.7004114985466003,
49,299,,0.1837771087884903
49,299,0.6956002116203308,
50,305,,0.18592901527881622
50,305,0.7131267786026001,
51,311,,0.1881583333015442
51,311,0.6949090361595154,
52,317,,0.19040031731128693
52,317,0.6992871761322021,
53,323,,0.19270695745944977
53,323,0.6941536664962769,
54,329,,0.19470158219337463
54,329,0.7032027244567871,
55,335,,0.19669422507286072
55,335,0.6859416365623474,
56,341,,0.19923263788223267
56,341,0.6918759346008301,
57,347,,0.20145772397518158
57,347,0.6960239410400391,
58,353,,0.20363512635231018
58,353,0.6820756793022156,
59,359,,0.205705463886261
59,359,0.6777158975601196,
60,365,,0.2076183408498764
60,365,0.6929122805595398,
61,371,,0.20974382758140564
61,371,0.6948780417442322,
62,377,,0.2118346393108368
62,377,0.6812103986740112,
63,383,,0.2140146642923355
63,383,0.6800833940505981,
64,389,,0.21588636934757233
64,389,0.6864144206047058,
65,395,,0.21752943098545074
65,395,0.6927959322929382,
66,401,,0.2191944122314453
66,401,0.6883966326713562,
67,407,,0.22090654075145721
67,407,0.6690055131912231,
68,413,,0.2228439450263977
68,413,0.6669718623161316,
69,419,,0.2247026562690735
69,419,0.6816734075546265,
70,425,,0.22628255188465118
70,425,0.6750838756561279,
71,431,,0.2279462069272995
71,431,0.6743882894515991,
72,437,,0.22990843653678894
72,437,0.6718347072601318,
73,443,,0.23168976604938507
73,443,0.6786216497421265,
74,449,,0.23352274298667908
74,449,0.6635533571243286,
75,455,,0.23531007766723633
75,455,0.6684302687644958,
76,461,,0.23693303763866425
76,461,0.6661856174468994,
77,467,,0.2385481297969818
77,467,0.6798471808433533,
78,473,,0.2404261827468872
78,473,0.6525284051895142,
79,479,,0.24221806228160858
79,479,0.6712102890014648,
80,485,,0.24381335079669952
80,485,0.6635271310806274,
81,491,,0.2455526739358902
81,491,0.6488716006278992,
82,497,,0.2473352700471878
82,497,0.6736276149749756,
83,503,,0.24906067550182343
83,503,0.6422840356826782,
84,509,,0.25073230266571045
84,509,0.6659642457962036,
85,515,,0.2521510720252991
85,515,0.6560981273651123,
86,521,,0.25363704562187195
86,521,0.6709763407707214,
87,527,,0.2551637291908264
87,527,0.6583102941513062,
88,533,,0.2566661536693573
88,533,0.6497254967689514,
89,539,,0.25815901160240173
89,539,0.6540376543998718,
90,545,,0.2597034275531769
90,545,0.6487845182418823,
91,551,,0.2612231969833374
91,551,0.636139988899231,
92,557,,0.26240360736846924
92,557,0.6428465843200684,
93,563,,0.26377272605895996
93,563,0.6381346583366394,
94,569,,0.26490557193756104
94,569,0.6429530382156372,
95,575,,0.2660128176212311
95,575,0.6634327173233032,
96,581,,0.26723721623420715
96,581,0.6672150492668152,
97,587,,0.26861292123794556
97,587,0.6595627665519714,
98,593,,0.2699720561504364
98,593,0.6466978788375854,
99,599,,0.271295428276062
99,599,0.6431728005409241,
